sigma_y,repeat,target,group,n_all,n_censored,observed_quantile,coverage_at_gpr_week,method
0.002,14,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,50,3,140,6,13,0.2,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,75,2,89,2,13.4285714286,0.685393258427,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,75,3,95,4,15.5714285714,0.705263157895,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,90,1,139,1,16.4285714286,0.863309352518,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,90,2,61,2,14.8571428571,0.885245901639,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,90,3,67,4,23.4285714286,0.791044776119,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,95,2,102,2,16.5714285714,0.93137254902,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,95,3,89,4,26.4285714286,0.898876404494,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,99,1,63,0,26.1428571429,0.984126984127,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,99,2,134,3,inf,0.955223880597,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,14,99,3,70,4,inf,0.928571428571,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,50,2,62,1,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,50,3,140,8,13.1428571429,0.185714285714,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,75,1,83,1,13.7142857143,0.578313253012,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,75,2,89,2,13.4285714286,0.662921348315,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,75,3,95,6,16,0.684210526316,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,90,1,139,1,16.7142857143,0.856115107914,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,90,2,61,3,16.2857142857,0.868852459016,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,90,3,67,5,24,0.820895522388,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,95,1,76,1,21.2857142857,0.894736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,95,2,102,2,19.4285714286,0.911764705882,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,95,3,89,6,inf,0.887640449438,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,99,1,63,0,26.1428571429,0.968253968254,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,99,2,134,4,inf,0.925373134328,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,15,99,3,70,5,inf,0.914285714286,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,50,1,65,0,12.8571428571,0.0615384615385,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,50,2,62,2,12.7142857143,0.129032258065,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,50,3,140,5,13,0.192857142857,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,75,1,83,1,13.7142857143,0.55421686747,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,75,2,89,3,13.4285714286,0.674157303371,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,75,3,95,3,15.5714285714,0.694736842105,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,90,1,139,2,16.4285714286,0.856115107914,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,90,2,61,2,14.8571428571,0.885245901639,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,90,3,67,3,22,0.835820895522,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,95,1,76,1,20.8571428571,0.907894736842,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,95,2,102,3,16.5714285714,0.941176470588,固定BMI边界；扰动实测Y；未重拟合GPR
0.002,16,95,3,89,3,24,0.910112359551,固定BMI边界；扰动实测Y；未重拟合GPR
