类别,校验项,数值,单位,结论
价格参数选择,2025-07-18价格候选,水平1×形态7天,历史验证28天,加权MAE=0.054751
价格参数选择,2025-07-19价格候选,水平1×形态7天,历史验证28天,加权MAE=0.054672
价格参数选择,2025-07-20价格候选,水平1×形态7天,历史验证28天,加权MAE=0.055375
价格参数选择,2025-07-21价格候选,水平1×形态7天,历史验证28天,加权MAE=0.053962
价格参数选择,2025-07-22价格候选,水平1×形态7天,历史验证28天,加权MAE=0.052815
价格参数选择,2025-07-23价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051744
价格参数选择,2025-07-24价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050863
价格参数选择,2025-07-25价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050272
价格参数选择,2025-07-26价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051386
价格参数选择,2025-07-27价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051597
价格参数选择,2025-07-28价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050595
价格参数选择,2025-07-29价格候选,水平1×形态14天,历史验证28天,加权MAE=0.050871
价格参数选择,2025-07-30价格候选,水平1×形态14天,历史验证28天,加权MAE=0.050089
价格参数选择,2025-07-31价格候选,水平1×形态14天,历史验证28天,加权MAE=0.048698
价格参数选择,2025-08-01价格候选,水平1×形态14天,历史验证28天,加权MAE=0.047190
价格参数选择,2025-08-02价格候选,水平1×形态14天,历史验证28天,加权MAE=0.048513
价格参数选择,2025-08-03价格候选,水平1×形态14天,历史验证28天,加权MAE=0.049975
价格参数选择,2025-08-04价格候选,水平0.6-0.3-0.1×形态14天,历史验证28天,加权MAE=0.049571
价格参数选择,2025-08-05价格候选,水平0.6-0.3-0.1×形态14天,历史验证28天,加权MAE=0.049230
价格参数选择,2025-08-06价格候选,水平0.6-0.3-0.1×形态14天,历史验证28天,加权MAE=0.048890
价格参数选择,2025-08-07价格候选,水平0.6-0.3-0.1×形态14天,历史验证28天,加权MAE=0.048331
价格参数选择,2025-08-08价格候选,水平0.5-0.3-0.2×形态14天,历史验证28天,加权MAE=0.048416
价格参数选择,2025-08-09价格候选,水平0.5-0.3-0.2×形态14天,历史验证28天,加权MAE=0.050818
价格参数选择,2025-08-10价格候选,水平0.5-0.3-0.2×形态14天,历史验证28天,加权MAE=0.052300
价格参数选择,2025-08-11价格候选,水平0.6-0.3-0.1×形态14天,历史验证28天,加权MAE=0.051270
价格参数选择,2025-08-12价格候选,水平0.6-0.3-0.1×形态14天,历史验证28天,加权MAE=0.050548
价格参数选择,2025-08-13价格候选,水平1×形态14天,历史验证28天,加权MAE=0.049795
价格参数选择,2025-08-14价格候选,水平1×形态21天,历史验证28天,加权MAE=0.048733
价格参数选择,2025-08-15价格候选,水平1×形态21天,历史验证28天,加权MAE=0.047683
价格参数选择,2025-08-16价格候选,水平1×形态21天,历史验证28天,加权MAE=0.050008
价格参数选择,2025-08-17价格候选,水平1×形态14天,历史验证28天,加权MAE=0.051782
价格参数选择,2025-08-18价格候选,水平1×形态21天,历史验证28天,加权MAE=0.050812
价格参数选择,2025-08-19价格候选,水平1×形态21天,历史验证28天,加权MAE=0.049572
价格参数选择,2025-08-20价格候选,水平1×形态21天,历史验证28天,加权MAE=0.048432
价格参数选择,2025-08-21价格候选,水平1×形态21天,历史验证28天,加权MAE=0.047853
价格参数选择,2025-08-22价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.046669
价格参数选择,2025-08-23价格候选,水平1×形态21天,历史验证28天,加权MAE=0.047962
价格参数选择,2025-08-24价格候选,水平1×形态21天,历史验证28天,加权MAE=0.049027
价格参数选择,2025-08-25价格候选,水平1×形态21天,历史验证28天,加权MAE=0.047910
价格参数选择,2025-08-26价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.047285
价格参数选择,2025-08-27价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.046155
价格参数选择,2025-08-28价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.046278
价格参数选择,2025-08-29价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.046548
价格参数选择,2025-08-30价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.047222
价格参数选择,2025-08-31价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.048951
价格参数选择,2025-09-01价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.048161
价格参数选择,2025-09-02价格候选,水平0.5-0.3-0.2×形态28天,历史验证28天,加权MAE=0.052977
价格参数选择,2025-09-03价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.056954
价格参数选择,2025-09-04价格候选,水平0.6-0.3-0.1×形态28天,历史验证28天,加权MAE=0.060854
价格参数选择,2025-09-05价格候选,水平0.5-0.3-0.2×形态28天,历史验证28天,加权MAE=0.064467
价格参数选择,2025-09-06价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.067098
价格参数选择,2025-09-07价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.069342
价格参数选择,2025-09-08价格候选,水平0.25-0.25-0.25-0.25×形态28天,历史验证28天,加权MAE=0.071897
价格参数选择,2025-09-09价格候选,水平0.5-0.3-0.2×形态28天,历史验证28天,加权MAE=0.072615
价格参数选择,2025-09-10价格候选,水平0.6-0.3-0.1×形态7天,历史验证28天,加权MAE=0.072597
价格参数选择,2025-09-11价格候选,水平1×形态7天,历史验证28天,加权MAE=0.071681
价格参数选择,2025-09-12价格候选,水平1×形态7天,历史验证28天,加权MAE=0.069476
价格参数选择,2025-09-13价格候选,水平1×形态7天,历史验证28天,加权MAE=0.068710
价格参数选择,2025-09-14价格候选,水平1×形态7天,历史验证28天,加权MAE=0.067931
价格参数选择,2025-09-15价格候选,水平1×形态7天,历史验证28天,加权MAE=0.067425
价格参数选择,2025-09-16价格候选,水平1×形态7天,历史验证28天,加权MAE=0.065474
价格参数选择,2025-09-17价格候选,水平1×形态7天,历史验证28天,加权MAE=0.064320
价格参数选择,2025-09-18价格候选,水平1×形态7天,历史验证28天,加权MAE=0.063206
价格参数选择,2025-09-19价格候选,水平1×形态7天,历史验证28天,加权MAE=0.061329
价格参数选择,2025-09-20价格候选,水平1×形态7天,历史验证28天,加权MAE=0.060255
价格参数选择,2025-09-21价格候选,水平1×形态7天,历史验证28天,加权MAE=0.059509
价格参数选择,2025-09-22价格候选,水平1×形态7天,历史验证28天,加权MAE=0.058959
价格参数选择,2025-09-23价格候选,水平1×形态7天,历史验证28天,加权MAE=0.057953
价格参数选择,2025-09-24价格候选,水平1×形态7天,历史验证28天,加权MAE=0.056961
价格参数选择,2025-09-25价格候选,水平1×形态7天,历史验证28天,加权MAE=0.055552
价格参数选择,2025-09-26价格候选,水平1×形态7天,历史验证28天,加权MAE=0.053819
价格参数选择,2025-09-27价格候选,水平1×形态7天,历史验证28天,加权MAE=0.053222
价格参数选择,2025-09-28价格候选,水平1×形态7天,历史验证28天,加权MAE=0.052859
价格参数选择,2025-09-29价格候选,水平1×形态7天,历史验证28天,加权MAE=0.052880
价格参数选择,2025-09-30价格候选,水平1×形态7天,历史验证28天,加权MAE=0.051369
价格参数选择,2025-10-01价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050889
价格参数选择,2025-10-02价格候选,水平1×形态7天,历史验证28天,加权MAE=0.050244
价格参数选择,2025-10-03价格候选,水平1×形态7天,历史验证28天,加权MAE=0.048978
